stop_name,type
월곶,subway
세종대왕릉,subway
오산,subway
진위,subway
동암,subway
도화,subway
구성,subway
소래포구,subway
인천논현,subway
호구포,subway
남동인더스파크,subway
원인재,subway
연수,subway
송도,subway
인하대,subway
숭의,subway
인천,subway
방학,subway
도봉,subway
도봉산,subway
망월사,subway
회룡,subway
의정부,subway
가능,subway
양주,subway
덕계,subway
덕정,subway
지행,subway
동두천중앙,subway
동두천,subway
원당,subway
대곡,subway
백석,subway
마두,subway
정발산,subway
주엽,subway
대화,subway
청량리,subway
보정,subway
보산,subway
동대문역사문화공원,subway
청구,subway
원흥,subway
삼송,subway
도봉산,subway
수락산,subway
마들,subway
노원,subway
중계,subway
하계,subway
공릉,subway
태릉입구,subway
먹골,subway
신중동,subway
부천시청,subway
상동,subway
삼산체육관,subway
굴포천,subway
계양,subway
귤현,subway
박촌,subway
임학,subway
계산,subway
경인교대입구,subway
작전,subway
갈산,subway
부평구청,subway
부평시장,subway
부평,subway
동수,subway
부평삼거리,subway
인천시청,subway
예술회관,subway
인천터미널,subway
문학경기장,subway
선학,subway
신연수,subway
원인재,subway
동춘,subway
동막,subway
캠퍼스타운,subway
테크노파크,subway
지식정보단지,subway
인천대입구,subway
센트럴파크,subway
국제업무지구,subway
마전,subway
독정,subway
검바위,subway
서구청,subway
가정,subway
인천가좌,subway
가재울,subway
주안국가산단,subway
인천시청,subway
석천사거리,subway
모래내시장,subway
만수,subway
운연,subway
검암,subway
가정중앙시장,subway
석남,subway
서부여성회관,subway
주안,subway
시민공원,subway
석바위시장,subway
개화,subway
김포공항,subway
공항시장,subway
신방화,subway
마곡나루,subway
양천향교,subway
증미,subway
등촌,subway
선유도,subway
샛강,subway
노량진,subway
흑석,subway
구반포,subway
신반포,subway
신논현,subway
김포공항,subway
계양,subway
동천,subway
수지구청,subway
성복,subway
상현,subway
광교중앙,subway
왕길,subway
완정,subway
염창,subway
신목동,subway
당산,subway
국회의사당,subway
여의도,subway
노들,subway
동작,subway
고속터미널,subway
사평,subway
마곡나루,subway
검암,subway
정자,subway
미금,subway
동오,subway
새말,subway
경기도청북부청사,subway
효자,subway
가양,subway
서울역,subway
공덕,subway
홍대입구,subway
디지털미디어시티,subway
청라국제도시,subway
운서,subway
양재시민의숲,subway
판교,subway
광교,subway
회룡,subway
범골,subway
경전철의정부,subway
의정부시청,subway
흥선,subway
의정부중앙,subway
곤제,subway
어룡,subway
공항화물청사,subway
인천공항1터미널,subway
인천공항2터미널,subway
영종,subway
강남,subway
양재,subway
강남대,subway
지석,subway
어정,subway
동백,subway
초당,subway
시청.용인대,subway
명지대,subway
김량장,subway
운동장.송담대,subway
고진,subway
보평,subway
둔전,subway
발곡,subway
송산,subway
탑석,subway
북한산우이,subway
약수,subway
솔밭공원,subway
4?19민주묘지,subway
가오리,subway
삼양사거리,subway
